feature,importance
Area Locality_Doddanagamangala,0.0
"Area Locality_Doddanekundi, Kartik Nagar",0.0
"Area Locality_Doddathoguru, Electronic City",0.0
"Area Locality_Dollars Colony-Rmv Extension Stage 2, RMV Extension Stage 2",0.0
"Area Locality_Domalguda, Himayath Nagar, NH 7",0.0
"Area Locality_Domlur, Domlur",0.0
"Area Locality_Dooravani Nagar, Dooravani Nagar",0.0
Area Locality_Dori Walan,0.0
"Area Locality_Dosti Flamingo, Sewri",0.0
Area Locality_Dr Mukherjee Nagar West,0.0
Area Locality_Dr Ranga Road,0.0
"Area Locality_Dr.Shivaram Karanth Nagar, Jakkuru",0.0
"Area Locality_Dreams Complex, Bhandup West",0.0
"Area Locality_Dsk Madhuban, Sakinaka Junction",0.0
"Area Locality_Dum Dum Heights, Jessore Road",0.0
Area Locality_Duraisamy Nagar,0.0
